dir,survey,period,file,status,n_vars,concept,candidate_variables
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,month_year,
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,industry,
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,occupation,
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,household_id,vivienda|hogar
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,person_id,codperso
196_trim_ene_feb_mar08,EPE,2008-01,Trim Ene-Feb-Mar08.sav,ok,92,panel_rotation,
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,employment_indicator,ocu200
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,age,p208b1|p208b2|p208b3
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,sex,p207a|p207b
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,dependent_worker,
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,self_employment,
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,informality,
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,monthly_earnings,ingtot
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,hours,
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,weight,
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,psu,conglome
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,stratum,estrato
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,geography,dominio
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,month_year,
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,industry,
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,occupation,
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,household_id,vivienda|hogar
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,person_id,codperso
218_trim_ene_feb_mar09,EPE,2009-01,Trim Ene-Feb-Mar09.sav,ok,92,panel_rotation,
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,employment_indicator,ocu200
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,age,p208b1|p208b2|p208b3
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,sex,p207a|p207b
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,dependent_worker,
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,self_employment,
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,informality,
237_trim_ene_feb_mar10,EPE,2010-01,Trim Ene-Feb-Mar10.sav,ok,92,monthly_earnings,ingtot
